Title,Original_Title,Year,Released,Runtime,Genre,Director,Writer,Actors,Plot,imdbID,TMDb_ID,MovieLens_ID
Aliens,Aliens,1986,1986-07-18,137 min,"Action, Thriller, Science Fiction",James Cameron,"James Cameron, David Giler, Walter Hill, Ronald Shusett, James Cameron, Dan O'Bannon","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Lance Henriksen","Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",tt0090605,679,176
"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",1966,1966-12-22,161 min,Western,Sergio Leone,"Luciano Vincenzoni, Sergio Leone, Agenore Incrocci, Furio Scarpelli, Sergio Leone, Luciano Vincenzoni, Mickey Knox","Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",tt0060196,429,177
12 Angry Men,12 Angry Men,1957,1957-04-10,97 min,Drama,Sidney Lumet,"Reginald Rose, Reginald Rose","Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",tt0050083,389,178
A Clockwork Orange,A Clockwork Orange,1971,1971-12-19,137 min,"Science Fiction, Crime",Stanley Kubrick,"Stanley Kubrick, Anthony Burgess","Malcolm McDowell, Patrick Magee, Carl Duering, Michael Bates, Warren Clarke","In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",tt0066921,185,179
Apocalypse Now,Apocalypse Now,1979,1979-08-15,147 min,"Drama, War",Francis Ford Coppola,"Francis Ford Coppola, John Milius, Michael Herr, Joseph Conrad","Martin Sheen, Frederic Forrest, Albert Hall, Laurence Fishburne, Sam Bottoms","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",tt0078788,28,180
Return of the Jedi,Return of the Jedi,1983,1983-05-25,132 min,"Adventure, Action, Science Fiction",Richard Marquand,"Lawrence Kasdan, George Lucas, George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels","Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",tt0086190,1892,181
GoodFellas,GoodFellas,1990,1990-09-12,145 min,"Drama, Crime",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese, Nicholas Pileggi","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",tt0099685,769,182
Alien,Alien,1979,1979-05-25,117 min,"Horror, Science Fiction",Ridley Scott,"Dan O'Bannon, Ronald Shusett, Dan O'Bannon","Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",tt0078748,348,183
Psycho,Psycho,1960,1960-06-22,109 min,"Horror, Thriller, Mystery",Alfred Hitchcock,"Joseph Stefano, Robert Bloch","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",tt0054215,539,185
The Blues Brothers,The Blues Brothers,1980,1980-06-16,133 min,"Music, Comedy, Action, Crime",John Landis,"John Landis, Dan Aykroyd","Dan Aykroyd, John Belushi, James Brown, Cab Calloway, Ray Charles","Jake Blues, just released from prison, puts his old band back together to save the Catholic home where he and his brother Elwood were raised.",tt0080455,525,186
The Godfather Part II,The Godfather Part II,1974,1974-12-20,202 min,"Drama, Crime",Francis Ford Coppola,"Mario Puzo, Mario Puzo, Francis Ford Coppola","Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",tt0071562,240,187
Full Metal Jacket,Full Metal Jacket,1987,1987-06-26,117 min,"Drama, War",Stanley Kubrick,"Michael Herr, Gustav Hasford, Stanley Kubrick, Gustav Hasford","Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey, Dorian Harewood",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,tt0093058,600,188
Henry V,Henry V,1989,1989-10-05,137 min,"War, Drama, History",Kenneth Branagh,"Kenneth Branagh, William Shakespeare","Kenneth Branagh, Derek Jacobi, Brian Blessed, James Larkin, Paul Scofield",Gritty adaption of William Shakespeare's play about the English King's bloody conquest of France.,tt0097499,10705,190
Amadeus,Amadeus,1984,1984-09-19,180 min,"History, Music, Drama",Miloš Forman,"Peter Shaffer, Peter Shaffer","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Simon Callow, Roy Dotrice",Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Viennese composer Wolfgang Amadeus Mozart.,tt0086879,279,191
Raging Bull,Raging Bull,1980,1980-11-14,129 min,Drama,Martin Scorsese,"Paul Schrader, Jake LaMotta, Mardik Martin, Joseph Carter","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",tt0081398,1578,192
The Right Stuff,The Right Stuff,1983,1983-10-20,193 min,"Drama, History, Adventure",Philip Kaufman,"Tom Wolfe, Philip Kaufman","Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid, Fred Ward","As the Space Race ensues, seven pilots set off on a path to become the first American astronauts to enter space. However, the road to making history brings forth momentous challenges.",tt0086197,9549,193
The Sting,The Sting,1973,1973-12-25,129 min,"Comedy, Crime, Drama",George Roy Hill,David S. Ward,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston",A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,tt0070735,9277,194
The Terminator,The Terminator,1984,1984-10-26,108 min,"Action, Thriller, Science Fiction",James Cameron,"William Wisher, James Cameron, Gale Anne Hurd","Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield, Lance Henriksen","In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",tt0088247,218,195
Dead Poets Society,Dead Poets Society,1989,1989-06-02,128 min,Drama,Peter Weir,Tom Schulman,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",tt0097165,207,196
The Graduate,The Graduate,1967,1967-12-21,106 min,"Drama, Romance, Comedy",Mike Nichols,"Charles Webb, Calder Willingham, Buck Henry","Anne Bancroft, Dustin Hoffman, Katharine Ross, Murray Hamilton, William Daniels","Benjamin, a recent college graduate very worried about his future, finds himself in a love triangle with an older woman and her daughter.",tt0061722,37247,197
La Femme Nikita,Nikita,1990,1990-02-21,117 min,"Action, Thriller",Luc Besson,Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tchéky Karyo, Jean Reno, Marc Duret","A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance – as a secret political assassin controlled by the government.",tt0100263,9322,198
The Bridge on the River Kwai,The Bridge on the River Kwai,1957,1957-10-11,161 min,"Drama, History, War",David Lean,"Carl Foreman, Michael Wilson, Pierre Boulle","William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa, James Donald","The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",tt0050212,826,199
The Shining,The Shining,1980,1980-05-23,144 min,"Horror, Thriller",Stanley Kubrick,"Diane Johnson, Stanley Kubrick, Stephen King","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",tt0081505,694,200
Evil Dead II,Evil Dead II,1987,1987-03-13,84 min,"Horror, Comedy, Fantasy",Sam Raimi,"Sam Raimi, Scott Spiegel","Bruce Campbell, Sarah Berry, Dan Hicks, Kassie DePaiva, Ted Raimi","Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.",tt0092991,765,201
Groundhog Day,Groundhog Day,1993,1993-02-11,101 min,"Romance, Fantasy, Drama, Comedy",Harold Ramis,"Danny Rubin, Danny Rubin, Harold Ramis","Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray","A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",tt0107048,137,202
Unforgiven,Unforgiven,1992,1992-08-07,130 min,Western,Clint Eastwood,David Webb Peoples,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett","William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",tt0105695,33,203
Back to the Future,Back to the Future,1985,1985-07-03,116 min,"Adventure, Comedy, Science Fiction",Robert Zemeckis,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Claudia Wells","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",tt0088763,105,204
Patton,Patton,1970,1970-01-25,172 min,"War, Drama, History",Franklin J. Schaffner,"Francis Ford Coppola, Francis Ford Coppola, Edmund H. North, Edmund H. North, Ladislas Farago, Omar N. Bradley","George C. Scott, Stephen Young, Frank Latimore, Karl Michael Vogler, Karl Malden","""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",tt0066206,11202,205
Akira,AKIRA,1988,1988-06-10,124 min,"Animation, Science Fiction, Action",Katsuhiro Otomo,"Izo Hashimoto, Katsuhiro Otomo, Katsuhiro Otomo","Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tessyo Genda, Koichi Kitamura",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,tt0094625,149,206
Cyrano de Bergerac,Cyrano de Bergerac,1990,1990-03-28,137 min,"Drama, Comedy, History, Romance",Jean-Paul Rappeneau,"Edmond Rostand, Jean-Paul Rappeneau, Jean-Claude Carrière, Edmond Rostand","Gérard Depardieu, Anne Brochet, Vincent Perez, Jacques Weber, Roland Bertin","Famed swordsman and poet Cyrano de Bergerac is in love with his cousin Roxane. He has never expressed his love for her as he his large nose undermines his self-confidence. Then he finds a way to express his love to her, indirectly.",tt0099334,11673,207
Young Frankenstein,Young Frankenstein,1974,1974-12-15,106 min,Comedy,Mel Brooks,"Gene Wilder, Mel Brooks, Mel Brooks, Gene Wilder, Mary Shelley","Gene Wilder, Teri Garr, Marty Feldman, Peter Boyle, Cloris Leachman","A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",tt0072431,3034,208
This Is Spinal Tap,This Is Spinal Tap,1984,1984-03-02,82 min,"Music, Comedy",Rob Reiner,"Rob Reiner, Christopher Guest, Michael McKean, Harry Shearer","Christopher Guest, Michael McKean, Harry Shearer, Rob Reiner, June Chadwick","""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on the charts, including everything from its complicated history of ups and downs, gold albums, name changes and undersold concert dates, along with the full host of requisite groupies, promoters, hangers-on and historians, sessions, release events and those special behind-the-scenes moments that keep it all real.",tt0088258,11031,209
Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989,1989-05-24,127 min,"Adventure, Action",Steven Spielberg,"Philip Kaufman, Jeffrey Boam, George Lucas, Menno Meyjes, Tom Stoppard, George Lucas","Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody, John Rhys-Davies","In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",tt0097576,89,210
M*A*S*H,M*A*S*H,1970,1970-02-18,116 min,"Comedy, Drama, War",Robert Altman,"Ring Lardner, Jr., Richard Hooker","Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, Robert Duvall",The staff of a Korean War field hospital use humor and hijinks to keep their sanity in the face of the horror of war.  Preserved by the Academy Film Archive in partnership with Twentieth Century Fox Film Corporation in 2000.,tt0066026,651,211
The Unbearable Lightness of Being,The Unbearable Lightness of Being,1988,1988-02-05,171 min,"Drama, Romance",Philip Kaufman,"Jean-Claude Carrière, Philip Kaufman, Milan Kundera","Daniel Day-Lewis, Juliette Binoche, Lena Olin, Derek de Lint, Stellan Skarsgård","Successful surgeon Tomas leaves Prague for an operation, meets a young photographer named Tereza, and brings her back with him. Tereza is surprised to learn that Tomas is already having an affair with the bohemian Sabina, but when the Soviet invasion occurs, all three flee to Switzerland. Sabina begins an affair, Tom continues womanizing, and Tereza, disgusted, returns to Czechoslovakia. Realizing his mistake, Tomas decides to chase after her.",tt0096332,10644,212
Pink Floyd: The Wall,Pink Floyd: The Wall,1982,1982-07-14,95 min,"Music, Drama",Alan Parker,Roger Waters,"Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David, Kevin McKeon",A troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,tt0084503,12104,214
Field of Dreams,Field of Dreams,1989,1989-04-21,107 min,"Drama, Fantasy",Phil Alden Robinson,"Phil Alden Robinson, W.P. Kinsella","Kevin Costner, Amy Madigan, Gaby Hoffmann, James Earl Jones, Ray Liotta","Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.",tt0097351,2323,215
When Harry Met Sally...,When Harry Met Sally...,1989,1989-07-21,96 min,"Comedy, Romance, Drama",Rob Reiner,Nora Ephron,"Meg Ryan, Billy Crystal, Bruno Kirby, Carrie Fisher, Steven Ford","During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",tt0098635,639,216
Bram Stoker's Dracula,Bram Stoker's Dracula,1992,1992-11-13,128 min,"Romance, Horror",Francis Ford Coppola,"Bram Stoker, James V. Hart","Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves, Sadie Frost","In 19th century England, Count Dracula travels to London and meets Mina Harker, a young woman who appears as the reincarnation of his lost love.",tt0103874,6114,217
Cape Fear,Cape Fear,1991,1991-11-13,128 min,"Thriller, Crime",Martin Scorsese,"John D. MacDonald, Wesley Strick, James R. Webb","Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis, Joe Don Baker","Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, Bible-quoting, psychotic rapist. What do they have in common? 14 years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",tt0101540,1598,218
A Nightmare on Elm Street,A Nightmare on Elm Street,1984,1984-10-31,91 min,Horror,Wes Craven,Wes Craven,"Heather Langenkamp, Robert Englund, Johnny Depp, John Saxon, Ronee Blakley","Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",tt0087800,377,219
The Mirror Has Two Faces,The Mirror Has Two Faces,1996,1996-11-15,126 min,"Comedy, Drama, Romance",Barbra Streisand,"André Cayatte, Richard LaGravenese, Gérard Oury, Richard LaGravenese","Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal, Mimi Rogers","Rose Morgan, who still lives with her mother, is a professor of Romantic Literature who desperately longs for passion in her life. Gregory Larkin, a mathematics professor, has been burned by passionate relationships and longs for a sexless union based on friendship and respect.",tt0117057,25189,220
Breaking the Waves,Breaking the Waves,1996,1996-07-05,158 min,"Drama, Romance",Lars von Trier,"David Pirie, Tómas Gislason, Kirsten Bonnén Rask, Lars von Trier, Peter Asmussen","Emily Watson, Stellan Skarsgård, Katrin Cartlidge, Jean-Marc Barr, Adrian Rawlins","In a small and conservative Scottish village, a woman's paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living.",tt0115751,145,221
Star Trek: First Contact,Star Trek: First Contact,1996,1996-11-22,111 min,"Science Fiction, Action, Adventure, Thriller",Jonathan Frakes,"Ronald D. Moore, Brannon Braga, Rick Berman, Brannon Braga, Ronald D. Moore","Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn","The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",tt0117731,199,222
Sling Blade,Sling Blade,1996,1996-08-30,135 min,Drama,Billy Bob Thornton,"Billy Bob Thornton, Billy Bob Thornton","Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black","Karl Childers, a mentally disabled man, has been in the custody of the state mental hospital since the age of 12 for killing his mother and her lover. Although thoroughly institutionalized, he is deemed fit to be released into the outside world.",tt0117666,12498,223
Ridicule,Ridicule,1996,1996-05-09,102 min,"Comedy, Drama, Romance",Patrice Leconte,"Eric Vicaut, Michel Fessler, Rémi Waterhouse","Charles Berling, Jean Rochefort, Fanny Ardant, Judith Godrèche, Bernard Giraudeau","To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles.",tt0117477,12709,224
101 Dalmatians,101 Dalmatians,1996,1996-11-27,103 min,"Family, Comedy",Stephen Herek,"John Hughes, David Molina, Dodie Smith","Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright, Hugh Laurie","An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",tt0115433,11674,225
Die Hard 2,Die Hard 2,1990,1990-07-03,124 min,"Action, Thriller",Renny Harlin,"Steven E. de Souza, Doug Richardson, Walter Wager","Bruce Willis, Bonnie Bedelia, William Sadler, Art Evans, Dennis Franz","One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead.",tt0099423,1573,226
Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,1991,1991-12-06,113 min,"Science Fiction, Action, Adventure, Thriller",Nicholas Meyer,"Nicholas Meyer, Denny Martin Flinn","William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei","After years of war, the Federation and the Klingon empire find themselves on the brink of a peace summit when a Klingon ship is nearly destroyed by an apparent attack from the Enterprise. Both worlds brace for what may be their deadliest encounter.",tt0102975,174,227
Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,1982,1982-06-04,112 min,"Action, Adventure, Science Fiction, Thriller",Nicholas Meyer,"Jack B. Sowards, Jack B. Sowards, Harve Bennett","William Shatner, Leonard Nimoy, Ricardo Montalban, DeForest Kelley, James Doohan","The starship Enterprise and its crew is pulled back into action when old nemesis, Khan, steals a top secret device called Project Genesis.",tt0084726,154,228
Star Trek III: The Search for Spock,Star Trek III: The Search for Spock,1984,1984-06-01,105 min,"Science Fiction, Action, Adventure, Thriller",Leonard Nimoy,Harve Bennett,"William Shatner, DeForest Kelley, James Doohan, George Takei, Walter Koenig",A surprise visit from Spock's father provides a startling revelation: McCoy is harboring Spock's living essence.,tt0088170,157,229
Star Trek IV: The Voyage Home,Star Trek IV: The Voyage Home,1986,1986-11-26,118 min,"Science Fiction, Adventure",Leonard Nimoy,"Steve Meerson, Nicholas Meyer, Harve Bennett, Peter Krikes, Harve Bennett, Leonard Nimoy","William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei","When a huge alien probe enters the galaxy and begins to vaporize earths oceans, Kirk and his crew must travel back in time in order to bring back whales and save the planet.",tt0092007,168,230
Batman Returns,Batman Returns,1992,1992-06-19,126 min,"Action, Fantasy",Tim Burton,"Daniel Waters, Daniel Waters, Bob Kane, Sam Hamm","Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough","Batman must face The Penguin, a sewer-dwelling gangleader intent on being accepted into Gotham society.  Meanwhile, another Gotham resident finds herself transformed into Catwoman and is out for revenge...",tt0103776,364,231
Young Guns,Young Guns,1988,1988-02-17,107 min,"Western, Action, Adventure",Christopher Cain,John Fusco,"Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Charlie Sheen, Dermot Mulroney","A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",tt0096487,11967,232
Under Siege,Under Siege,1992,1992-10-08,102 min,"Action, Thriller",Andrew Davis,J.F. Lawton,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak, Colm Meaney","A disgruntled ex-CIA operative, his assistant and their assembled group of terrorists seize a battleship with nuclear blackmail in mind. They've planned for every contingency but ignore the ship's cook, former Navy SEAL Casey Ryback—an error that could be fatal.",tt0105690,8845,233
Jaws,Jaws,1975,1975-06-20,124 min,"Horror, Thriller, Adventure",Steven Spielberg,"Carl Gottlieb, Peter Benchley, Peter Benchley","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton","When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled hunter embark on a desperate quest to destroy the beast before it strikes again.",tt0073195,578,234
Mars Attacks!,Mars Attacks!,1996,1996-12-13,106 min,"Comedy, Fantasy, Science Fiction",Tim Burton,Jonathan Gems,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito","A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",tt0116996,75,235
Citizen Ruth,Citizen Ruth,1996,1996-11-21,104 min,"Drama, Comedy",Alexander Payne,"Alexander Payne, Jim Taylor","Laura Dern, Swoosie Kurtz, Kurtwood Smith, Mary Kay Place, Kelly Preston","""Citizen Ruth"" is the story of Ruth Stoops, a woman who nobody even noticed -- until she got pregnant. Now, everyone wants a piece of her. The film is a comedy about one woman caught in the ultimate tug-of-war: a clash of wild, noisy, ridiculous people that rapidly dissolves into a media circus.",tt0115906,13891,236
Jerry Maguire,Jerry Maguire,1996,1996-12-13,139 min,"Comedy, Drama, Romance",Cameron Crowe,Cameron Crowe,"Tom Cruise, Renée Zellweger, Cuba Gooding Jr., Kelly Preston, Jerry O'Connell","Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",tt0116695,9390,237
Raising Arizona,Raising Arizona,1987,1987-03-13,94 min,"Comedy, Crime",Joel Coen,"Joel Coen, Ethan Coen","Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman, William Forsythe","When a childless couple--an ex-con and an ex-cop--decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",tt0093822,378,238
Sneakers,Sneakers,1992,1992-09-09,126 min,"Comedy, Crime, Drama",Phil Alden Robinson,"Walter F. Parkes, Lawrence Lasker, Phil Alden Robinson","Robert Redford, Sidney Poitier, David Strathairn, Dan Aykroyd, River Phoenix","When shadowy U.S. intelligence agents blackmail a reformed computer hacker and his eccentric team of security experts into stealing a code-breaking 'black box' from a Soviet-funded genius, they uncover a bigger conspiracy. Now, he and his 'sneakers' must save themselves and the world economy by retrieving the box from their blackmailers.",tt0105435,2322,239
Beavis and Butt-Head Do America,Beavis and Butt-Head Do America,1996,1996-12-20,80 min,"Animation, Comedy",Mike Judge,"Joe Stillman, Joe Stillman, Mike Judge, Mike Judge, Ray daSilva, John Rice","Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack","Slacker duo Beavis and Butt-Head wake to discover their TV has been stolen. Their search for a new one takes them on a clueless adventure across America, during which they manage to accidentally become America's most wanted.",tt0115641,3179,240
